bioID,pos,firstseason,lastseason,height,weight
abrahta01w,C,0,0,74.0,190
abrossv01w,F,0,0,74.0,169
adairje01w,C,0,0,76.0,197
adamsda01w,F-C,0,0,73.0,239
adamsjo01w,C,0,0,75.0,180
aguilel01w,G,0,0,67.0,165
ajavoma01w,G,0,0,68.0,160
aldrima01w,G,0,0,71.0,153
alexaer01w,G,0,0,67.0,140
alhalta01w,F-G,0,0,72.0,149
allench01w,G,0,0,71.0,135
amachma01w,F,0,0,73.0,175
ambermo01w,F,0,0,76.0,169
anderam01w,F,0,0,72.0,167
anderch01w,C,0,0,78.0,190
anderjo01w,G,0,0,68.0,166
anderke01w,G,0,0,67.0,125
andrame01w,F,0,0,71.0,165
angelyv01w,G,0,0,68.0,160
anosini01w,C,0,0,75.0,211
appelja01w,C,0,0,76.0,210
arcaija01w,G,0,0,71.0,147
artiska01w,F,0,0,73.0,155
askamma01w,C,0,0,77.0,198
atkinla01w,G-F,0,0,72.0,172
atunrmo01w,G-F,0,0,70.0,143
augusse01w,F,0,0,72.0,179
aycocan01w,G-F,0,0,74.0,172
azizle01w,F,0,0,75.0,177
azzije01w,G,0,0,68.0,143
badertr01w,G,0,0,64.0,125
bakerla01w,G,0,0,67.0,140
bakersh01w,G,0,0,68.0,125
balesal01w,C,0,0,79.0,218
banchrh01w,C,0,0,75.0,185
baranel01w,F,0,0,77.0,182
barksla01w,G,0,0,70.0,156
barnead01w,F,0,0,71.0,165
barnequ01w,C,0,0,77.0,185
bassmi01w,F,0,0,75.0,184
batkosu01w,C,0,0,76.0,203
batteja01w,F,0,0,73.0,163
battlas01w,F,0,0,72.0,170
bauerca01w,F-C,0,0,76.0,180
beardal01w,G-F,0,0,71.0,160
becenry01w,G,0,0,66.0,140
beckki01w,G,0,0,68.0,125
bellje01w,F,0,0,73.0,160
bennije01w,F,0,0,75.0,185
berggas01w,G,0,0,70.0,170
berrysh01w,F-C,0,0,75.0,175
berthlu01w,F-C,0,0,74.0,188
berubca01w,F,0,0,72.0,155
beviltu01w,G,0,0,67.0,145
bibbyje01w,G,0,0,67.0,139
bibrzag01w,G-F,0,0,74.0,168
birdsu01w,G,0,0,69.0,150
bjedoni01w,C,0,0,78.0,195
bjorkan01w,F,0,0,72.0,166
bjorkte01w,C,0,0,76.0,175
blackch01w,C,0,0,77.0,188
blackde01w,G,0,0,63.0,124
bladerh01w,G,0,0,67.0,138
blodgci01w,G,0,0,69.0,130
blueni01w,G,0,0,68.0,163
blueoc01w,F,0,0,73.0,163
bobbish01w,G,0,0,62.0,130
boddiwh01w,G,0,0,69.0,149
boldeba01w,G,0,0,74.0,180
boltoru01w,G,0,0,69.0,150
bondla01w,G,0,0,67.0,132
bonfisu01w,G,0,0,68.0,145
bonnede01w,G,0,0,76.0,136
bookeka01w,C,0,0,73.0,170
bosweca01w,F-G,0,0,72.0,168
